Location,year,week_of_year,Attribute,Value
Lewiston,2023,12,Malting,
Moscow / Genesee,2023,12,Malting,674.0
Rexburg / Ririe,2022,12,Malting,
Idaho Falls,2022,12,Malting,1144.0
Blackfoot / Pocatello,2022,12,Malting,1150.0
Grace / Soda Springs,2022,12,Malting,
Burley / Rupert,2022,12,Malting,
Twin Falls / Buhl / Jerome / Wendell,2022,12,Malting,
Meridian,2022,12,Malting,
Nezperce / Craigmont,2022,12,Malting,
Lewiston,2022,12,Malting,
Moscow / Genesee,2022,12,Malting,1119.0
Rexburg / Ririe,2021,12,Malting,
Idaho Falls,2021,12,Malting,868.0
Blackfoot / Pocatello,2021,12,Malting,762.0
Grace / Soda Springs,2021,12,Malting,
Burley / Rupert,2021,12,Malting,
Twin Falls / Buhl / Jerome / Wendell,2021,12,Malting,
Meridian,2021,12,Malting,
Nezperce / Craigmont,2021,12,Malting,
Lewiston,2021,12,Malting,
Moscow / Genesee,2021,12,Malting,
Rexburg / Ririe,2023,13,Malting,
Idaho Falls,2023,13,Malting,1227.0
Blackfoot / Pocatello,2023,13,Malting,1550.0
Grace / Soda Springs,2023,13,Malting,
Burley / Rupert,2023,13,Malting,
Twin Falls / Buhl / Jerome / Wendell,2023,13,Malting,
Meridian,2023,13,Malting,
Nezperce / Craigmont,2023,13,Malting,
Lewiston,2023,13,Malting,
Moscow / Genesee,2023,13,Malting,
Rexburg / Ririe,2022,13,Malting,
Idaho Falls,2022,13,Malting,1222.0
Blackfoot / Pocatello,2022,13,Malting,1150.0
Grace / Soda Springs,2022,13,Malting,
Burley / Rupert,2022,13,Malting,
Twin Falls / Buhl / Jerome / Wendell,2022,13,Malting,
Meridian,2022,13,Malting,
Nezperce / Craigmont,2022,13,Malting,
Lewiston,2022,13,Malting,
Moscow / Genesee,2022,13,Malting,
Rexburg / Ririe,2023,15,Malting,
Idaho Falls,2023,15,Malting,1227.0
Blackfoot / Pocatello,2023,15,Malting,1550.0
Grace / Soda Springs,2023,15,Malting,
Burley / Rupert,2023,15,Malting,
Twin Falls / Buhl / Jerome / Wendell,2023,15,Malting,
Meridian,2023,15,Malting,
Nezperce / Craigmont,2023,15,Malting,
Lewiston,2023,15,Malting,
Moscow / Genesee,2023,15,Malting,
Rexburg / Ririe,2022,15,Malting,
Idaho Falls,2022,15,Malting,1222.0
Blackfoot / Pocatello,2022,15,Malting,1150.0
Grace / Soda Springs,2022,15,Malting,
Burley / Rupert,2022,15,Malting,
Twin Falls / Buhl / Jerome / Wendell,2022,15,Malting,
Meridian,2022,15,Malting,
Nezperce / Craigmont,2022,15,Malting,
Lewiston,2022,15,Malting,
Moscow / Genesee,2022,15,Malting,
Rexburg / Ririe,2021,15,Malting,
Idaho Falls,2021,15,Malting,868.0
Blackfoot / Pocatello,2021,15,Malting,762.0
Grace / Soda Springs,2021,15,Malting,
Burley / Rupert,2021,15,Malting,
Twin Falls / Buhl / Jerome / Wendell,2021,15,Malting,
Meridian,2021,15,Malting,
Nezperce / Craigmont,2021,15,Malting,
Lewiston,2021,15,Malting,
Moscow / Genesee,2021,15,Malting,
Rexburg / Ririe,2023,16,Malting,
Idaho Falls,2023,16,Malting,1129.0
Blackfoot / Pocatello,2023,16,Malting,1550.0
Grace / Soda Springs,2023,16,Malting,
Burley / Rupert,2023,16,Malting,
Twin Falls / Buhl / Jerome / Wendell,2023,16,Malting,
Meridian,2023,16,Malting,
Nezperce / Craigmont,2023,16,Malting,
Lewiston,2023,16,Malting,
Moscow / Genesee,2023,16,Malting,
Rexburg / Ririe,2022,16,Malting,
Idaho Falls,2022,16,Malting,1222.0
Blackfoot / Pocatello,2022,16,Malting,1150.0
Grace / Soda Springs,2022,16,Malting,
Burley / Rupert,2022,16,Malting,
Twin Falls / Buhl / Jerome / Wendell,2022,16,Malting,
Meridian,2022,16,Malting,
Nezperce / Craigmont,2022,16,Malting,
Lewiston,2022,16,Malting,
Moscow / Genesee,2022,16,Malting,
Rexburg / Ririe,2021,16,Malting,
Idaho Falls,2021,16,Malting,868.0
Blackfoot / Pocatello,2021,16,Malting,762.0
Grace / Soda Springs,2021,16,Malting,
Burley / Rupert,2021,16,Malting,
Twin Falls / Buhl / Jerome / Wendell,2021,16,Malting,
Meridian,2021,16,Malting,
Nezperce / Craigmont,2021,16,Malting,
Lewiston,2021,16,Malting,
Moscow / Genesee,2021,16,Malting,
Rexburg / Ririe,2023,17,Malting,
Idaho Falls,2023,17,Malting,1144.0
Blackfoot / Pocatello,2023,17,Malting,1550.0
Grace / Soda Springs,2023,17,Malting,
Burley / Rupert,2023,17,Malting,
Twin Falls / Buhl / Jerome / Wendell,2023,17,Malting,
Meridian,2023,17,Malting,
Nezperce / Craigmont,2023,17,Malting,
Lewiston,2023,17,Malting,
Moscow / Genesee,2023,17,Malting,
Rexburg / Ririe,2022,17,Malting,
Idaho Falls,2022,17,Malting,1222.0
Blackfoot / Pocatello,2022,17,Malting,1150.0
Grace / Soda Springs,2022,17,Malting,
Burley / Rupert,2022,17,Malting,
Twin Falls / Buhl / Jerome / Wendell,2022,17,Malting,
Meridian,2022,17,Malting,
Nezperce / Craigmont,2022,17,Malting,
Lewiston,2022,17,Malting,
Moscow / Genesee,2022,17,Malting,
Rexburg / Ririe,2021,17,Malting,
Idaho Falls,2021,17,Malting,868.0
Blackfoot / Pocatello,2021,17,Malting,762.0
Grace / Soda Springs,2021,17,Malting,
Burley / Rupert,2021,17,Malting,
Twin Falls / Buhl / Jerome / Wendell,2021,17,Malting,
Meridian,2021,17,Malting,
Nezperce / Craigmont,2021,17,Malting,
Lewiston,2021,17,Malting,
Moscow / Genesee,2021,17,Malting,
Rexburg / Ririe,2023,19,Malting,
Idaho Falls,2023,19,Malting,1144.0
Blackfoot / Pocatello,2023,19,Malting,1550.0
Grace / Soda Springs,2023,19,Malting,
Burley / Rupert,2023,19,Malting,
Twin Falls / Buhl / Jerome / Wendell,2023,19,Malting,
Meridian,2023,19,Malting,
Nezperce / Craigmont,2023,19,Malting,
Lewiston,2023,19,Malting,
Moscow / Genesee,2023,19,Malting,
Rexburg / Ririe,2022,19,Malting,
Idaho Falls,2022,19,Malting,1222.0
Blackfoot / Pocatello,2022,19,Malting,1150.0
Grace / Soda Springs,2022,19,Malting,
Burley / Rupert,2022,19,Malting,
Twin Falls / Buhl / Jerome / Wendell,2022,19,Malting,
Meridian,2022,19,Malting,
Nezperce / Craigmont,2022,19,Malting,
Lewiston,2022,19,Malting,
Moscow / Genesee,2022,19,Malting,
Rexburg / Ririe,2021,19,Malting,
Idaho Falls,2021,19,Malting,868.0
Blackfoot / Pocatello,2021,19,Malting,762.0
Grace / Soda Springs,2021,19,Malting,
Burley / Rupert,2021,19,Malting,
Twin Falls / Buhl / Jerome / Wendell,2021,19,Malting,
Meridian,2021,19,Malting,
Nezperce / Craigmont,2021,19,Malting,
Lewiston,2021,19,Malting,
Moscow / Genesee,2021,19,Malting,
Rexburg / Ririe,2023,20,Malting,
Idaho Falls,2023,20,Malting,1144.0
Blackfoot / Pocatello,2023,20,Malting,1550.0
Grace / Soda Springs,2023,20,Malting,
Burley / Rupert,2023,20,Malting,
Twin Falls / Buhl / Jerome / Wendell,2023,20,Malting,
Meridian,2023,20,Malting,
Nezperce / Craigmont,2023,20,Malting,
Lewiston,2023,20,Malting,
Moscow / Genesee,2023,20,Malting,
Rexburg / Ririe,2022,20,Malting,
Idaho Falls,2022,20,Malting,1274.0
Blackfoot / Pocatello,2022,20,Malting,1150.0
Grace / Soda Springs,2022,20,Malting,
Burley / Rupert,2022,20,Malting,
Twin Falls / Buhl / Jerome / Wendell,2022,20,Malting,
Meridian,2022,20,Malting,
Nezperce / Craigmont,2022,20,Malting,
Lewiston,2022,20,Malting,
Moscow / Genesee,2022,20,Malting,
Rexburg / Ririe,2021,20,Malting,
Idaho Falls,2021,20,Malting,868.0
Blackfoot / Pocatello,2021,20,Malting,762.0
Grace / Soda Springs,2021,20,Malting,
Burley / Rupert,2021,20,Malting,
Twin Falls / Buhl / Jerome / Wendell,2021,20,Malting,
Meridian,2021,20,Malting,
Nezperce / Craigmont,2021,20,Malting,
Lewiston,2021,20,Malting,
Moscow / Genesee,2021,20,Malting,
Rexburg / Ririe,2023,21,Malting,
Idaho Falls,2023,21,Malting,1144.0
Blackfoot / Pocatello,2023,21,Malting,1550.0
Grace / Soda Springs,2023,21,Malting,
Burley / Rupert,2023,21,Malting,
Twin Falls / Buhl / Jerome / Wendell,2023,21,Malting,
Meridian,2023,21,Malting,
Nezperce / Craigmont,2023,21,Malting,
Lewiston,2023,21,Malting,
Moscow / Genesee,2023,21,Malting,
Rexburg / Ririe,2022,21,Malting,
Idaho Falls,2022,21,Malting,1248.0
Blackfoot / Pocatello,2022,21,Malting,1150.0
Grace / Soda Springs,2022,21,Malting,
Burley / Rupert,2022,21,Malting,
Twin Falls / Buhl / Jerome / Wendell,2022,21,Malting,
Meridian,2022,21,Malting,
Nezperce / Craigmont,2022,21,Malting,
Lewiston,2022,21,Malting,
Moscow / Genesee,2022,21,Malting,
Rexburg / Ririe,2021,21,Malting,
Idaho Falls,2021,21,Malting,868.0
Blackfoot / Pocatello,2021,21,Malting,762.0
Grace / Soda Springs,2021,21,Malting,
Burley / Rupert,2021,21,Malting,
Twin Falls / Buhl / Jerome / Wendell,2021,21,Malting,
Meridian,2021,21,Malting,
Nezperce / Craigmont,2021,21,Malting,
Lewiston,2021,21,Malting,
Moscow / Genesee,2021,21,Malting,
Rexburg / Ririe,2021,23,Malting,
Idaho Falls,2021,23,Malting,868.0
Blackfoot / Pocatello,2021,23,Malting,762.0
Grace / Soda Springs,2021,23,Malting,
Burley / Rupert,2021,23,Malting,
Twin Falls / Buhl / Jerome / Wendell,2021,23,Malting,
Meridian,2021,23,Malting,
Nezperce / Craigmont,2021,23,Malting,
Lewiston,2021,23,Malting,
Moscow / Genesee,2021,23,Malting,
Rexburg / Ririe,2023,24,Malting,
Idaho Falls,2023,24,Malting,1144.0
Blackfoot / Pocatello,2023,24,Malting,1550.0
Grace / Soda Springs,2023,24,Malting,
Burley / Rupert,2023,24,Malting,
Twin Falls / Buhl / Jerome / Wendell,2023,24,Malting,
Meridian,2023,24,Malting,
Nezperce / Craigmont,2023,24,Malting,
Lewiston,2023,24,Malting,
Moscow / Genesee,2023,24,Malting,
Rexburg / Ririe,2022,24,Malting,
Idaho Falls,2022,24,Malting,1248.0
Blackfoot / Pocatello,2022,24,Malting,1150.0
Grace / Soda Springs,2022,24,Malting,
Burley / Rupert,2022,24,Malting,
Twin Falls / Buhl / Jerome / Wendell,2022,24,Malting,
Meridian,2022,24,Malting,
Nezperce / Craigmont,2022,24,Malting,
Lewiston,2022,24,Malting,
Moscow / Genesee,2022,24,Malting,
Rexburg / Ririe,2021,24,Malting,
Idaho Falls,2021,24,Malting,868.0
Blackfoot / Pocatello,2021,24,Malting,762.0
Grace / Soda Springs,2021,24,Malting,
Burley / Rupert,2021,24,Malting,
Twin Falls / Buhl / Jerome / Wendell,2021,24,Malting,
Meridian,2021,24,Malting,
Nezperce / Craigmont,2021,24,Malting,
Lewiston,2021,24,Malting,
Moscow / Genesee,2021,24,Malting,
Rexburg / Ririe,2023,25,Malting,
Idaho Falls,2023,25,Malting,1144.0
Blackfoot / Pocatello,2023,25,Malting,1550.0
Grace / Soda Springs,2023,25,Malting,
Burley / Rupert,2023,25,Malting,
Twin Falls / Buhl / Jerome / Wendell,2023,25,Malting,
Meridian,2023,25,Malting,
Nezperce / Craigmont,2023,25,Malting,
Lewiston,2023,25,Malting,
Moscow / Genesee,2023,25,Malting,
Rexburg / Ririe,2021,25,Malting,
Idaho Falls,2021,25,Malting,868.0
Blackfoot / Pocatello,2021,25,Malting,762.0
Grace / Soda Springs,2021,25,Malting,
Burley / Rupert,2021,25,Malting,
Twin Falls / Buhl / Jerome / Wendell,2021,25,Malting,
Meridian,2021,25,Malting,
Nezperce / Craigmont,2021,25,Malting,
Lewiston,2021,25,Malting,
Moscow / Genesee,2021,25,Malting,
Rexburg / Ririe,2022,25,Malting,
Idaho Falls,2022,25,Malting,1248.0
Blackfoot / Pocatello,2022,25,Malting,1150.0
Grace / Soda Springs,2022,25,Malting,
Burley / Rupert,2022,25,Malting,
Twin Falls / Buhl / Jerome / Wendell,2022,25,Malting,
Meridian,2022,25,Malting,
Nezperce / Craigmont,2022,25,Malting,
Lewiston,2022,25,Malting,
Moscow / Genesee,2022,25,Malting,
Rexburg / Ririe,2022,26,Malting,
Idaho Falls,2022,26,Malting,1248.0
Blackfoot / Pocatello,2022,26,Malting,1150.0
Grace / Soda Springs,2022,26,Malting,
Burley / Rupert,2022,26,Malting,
Twin Falls / Buhl / Jerome / Wendell,2022,26,Malting,
Meridian,2022,26,Malting,
Nezperce / Craigmont,2022,26,Malting,
Lewiston,2022,26,Malting,
Moscow / Genesee,2022,26,Malting,
Rexburg / Ririe,2022,28,Malting,
Idaho Falls,2022,28,Malting,1248.0
Blackfoot / Pocatello,2022,28,Malting,1150.0
Grace / Soda Springs,2022,28,Malting,
Burley / Rupert,2022,28,Malting,
Twin Falls / Buhl / Jerome / Wendell,2022,28,Malting,
Meridian,2022,28,Malting,
Nezperce / Craigmont,2022,28,Malting,
Lewiston,2022,28,Malting,
Moscow / Genesee,2022,28,Malting,
Rexburg / Ririe,2021,28,Malting,
Idaho Falls,2021,28,Malting,946.0
Blackfoot / Pocatello,2021,28,Malting,762.0
Grace / Soda Springs,2021,28,Malting,
Burley / Rupert,2021,28,Malting,
Twin Falls / Buhl / Jerome / Wendell,2021,28,Malting,
Meridian,2021,28,Malting,
Nezperce / Craigmont,2021,28,Malting,
Lewiston,2021,28,Malting,
Moscow / Genesee,2021,28,Malting,
Rexburg / Ririe,2023,29,Malting,
Idaho Falls,2023,29,Malting,1144.0
Blackfoot / Pocatello,2023,29,Malting,1550.0
Grace / Soda Springs,2023,29,Malting,
Burley / Rupert,2023,29,Malting,
Twin Falls / Buhl / Jerome / Wendell,2023,29,Malting,
Meridian,2023,29,Malting,
Nezperce / Craigmont,2023,29,Malting,
Lewiston,2023,29,Malting,
Moscow / Genesee,2023,29,Malting,
Rexburg / Ririe,2022,29,Malting,
Idaho Falls,2022,29,Malting,1248.0
Blackfoot / Pocatello,2022,29,Malting,1150.0
Grace / Soda Springs,2022,29,Malting,
Burley / Rupert,2022,29,Malting,
Twin Falls / Buhl / Jerome / Wendell,2022,29,Malting,
Meridian,2022,29,Malting,
Nezperce / Craigmont,2022,29,Malting,
Lewiston,2022,29,Malting,
Moscow / Genesee,2022,29,Malting,
Rexburg / Ririe,2021,29,Malting,
Idaho Falls,2021,29,Malting,946.0
Blackfoot / Pocatello,2021,29,Malting,762.0
Grace / Soda Springs,2021,29,Malting,
Burley / Rupert,2021,29,Malting,
Twin Falls / Buhl / Jerome / Wendell,2021,29,Malting,
Meridian,2021,29,Malting,
Nezperce / Craigmont,2021,29,Malting,
Lewiston,2021,29,Malting,
Moscow / Genesee,2021,29,Malting,
Rexburg / Ririe,2023,30,Malting,
Idaho Falls,2023,30,Malting,1092.0
Blackfoot / Pocatello,2023,30,Malting,1550.0
Grace / Soda Springs,2023,30,Malting,
Burley / Rupert,2023,30,Malting,
Twin Falls / Buhl / Jerome / Wendell,2023,30,Malting,
Meridian,2023,30,Malting,
Nezperce / Craigmont,2023,30,Malting,
Lewiston,2023,30,Malting,
Moscow / Genesee,2023,30,Malting,
Rexburg / Ririe,2022,30,Malting,
Idaho Falls,2022,30,Malting,1248.0
Blackfoot / Pocatello,2022,30,Malting,1150.0
Grace / Soda Springs,2022,30,Malting,
Burley / Rupert,2022,30,Malting,
Twin Falls / Buhl / Jerome / Wendell,2022,30,Malting,
Meridian,2022,30,Malting,
Nezperce / Craigmont,2022,30,Malting,
Lewiston,2022,30,Malting,
Moscow / Genesee,2022,30,Malting,
Rexburg / Ririe,2021,30,Malting,
Idaho Falls,2021,30,Malting,977.5
Blackfoot / Pocatello,2021,30,Malting,762.0
Grace / Soda Springs,2021,30,Malting,
Burley / Rupert,2021,30,Malting,
Twin Falls / Buhl / Jerome / Wendell,2021,30,Malting,
Meridian,2021,30,Malting,
Nezperce / Craigmont,2021,30,Malting,
Lewiston,2021,30,Malting,
Moscow / Genesee,2021,30,Malting,
Rexburg / Ririe,2023,32,Malting,
Idaho Falls,2023,32,Malting,1092.0
Blackfoot / Pocatello,2023,32,Malting,1550.0
Grace / Soda Springs,2023,32,Malting,
Burley / Rupert,2023,32,Malting,
Twin Falls / Buhl / Jerome / Wendell,2023,32,Malting,
Meridian,2023,32,Malting,
Nezperce / Craigmont,2023,32,Malting,
Lewiston,2023,32,Malting,
Moscow / Genesee,2023,32,Malting,
Rexburg / Ririe,2022,32,Malting,
Idaho Falls,2022,32,Malting,1248.0
Blackfoot / Pocatello,2022,32,Malting,1150.0
Grace / Soda Springs,2022,32,Malting,
Burley / Rupert,2022,32,Malting,
Twin Falls / Buhl / Jerome / Wendell,2022,32,Malting,
Meridian,2022,32,Malting,
Nezperce / Craigmont,2022,32,Malting,
Lewiston,2022,32,Malting,
Moscow / Genesee,2022,32,Malting,
Rexburg / Ririe,2021,32,Malting,
Idaho Falls,2021,32,Malting,977.5
Blackfoot / Pocatello,2021,32,Malting,1150.0
Grace / Soda Springs,2021,32,Malting,
Burley / Rupert,2021,32,Malting,
Twin Falls / Buhl / Jerome / Wendell,2021,32,Malting,
Meridian,2021,32,Malting,
Nezperce / Craigmont,2021,32,Malting,
Lewiston,2021,32,Malting,
Moscow / Genesee,2021,32,Malting,
Rexburg / Ririe,2023,33,Malting,
Idaho Falls,2023,33,Malting,1092.0
Blackfoot / Pocatello,2023,33,Malting,1550.0
Grace / Soda Springs,2023,33,Malting,
Burley / Rupert,2023,33,Malting,
Twin Falls / Buhl / Jerome / Wendell,2023,33,Malting,
Meridian,2023,33,Malting,
Nezperce / Craigmont,2023,33,Malting,
Lewiston,2023,33,Malting,
Moscow / Genesee,2023,33,Malting,
Rexburg / Ririe,2022,33,Malting,
Idaho Falls,2022,33,Malting,1227.0
Blackfoot / Pocatello,2022,33,Malting,1150.0
Grace / Soda Springs,2022,33,Malting,
Burley / Rupert,2022,33,Malting,
Twin Falls / Buhl / Jerome / Wendell,2022,33,Malting,
Meridian,2022,33,Malting,
Nezperce / Craigmont,2022,33,Malting,
Lewiston,2022,33,Malting,
Moscow / Genesee,2022,33,Malting,
Rexburg / Ririe,2021,33,Malting,
Idaho Falls,2021,33,Malting,977.5
Blackfoot / Pocatello,2021,33,Malting,1150.0
Grace / Soda Springs,2021,33,Malting,
Burley / Rupert,2021,33,Malting,
Twin Falls / Buhl / Jerome / Wendell,2021,33,Malting,
Meridian,2021,33,Malting,
Nezperce / Craigmont,2021,33,Malting,
Lewiston,2021,33,Malting,
Moscow / Genesee,2021,33,Malting,
Rexburg / Ririe,2022,34,Malting,
Idaho Falls,2022,34,Malting,1227.0
Blackfoot / Pocatello,2022,34,Malting,1150.0
Grace / Soda Springs,2022,34,Malting,
Burley / Rupert,2022,34,Malting,
Twin Falls / Buhl / Jerome / Wendell,2022,34,Malting,
Meridian,2022,34,Malting,
Nezperce / Craigmont,2022,34,Malting,
Lewiston,2022,34,Malting,
Moscow / Genesee,2022,34,Malting,
Rexburg / Ririe,2023,34,Malting,
Idaho Falls,2023,34,Malting,1040.0
Blackfoot / Pocatello,2023,34,Malting,1550.0
Grace / Soda Springs,2023,34,Malting,
Burley / Rupert,2023,34,Malting,
Twin Falls / Buhl / Jerome / Wendell,2023,34,Malting,
Meridian,2023,34,Malting,
Nezperce / Craigmont,2023,34,Malting,
Lewiston,2023,34,Malting,
Moscow / Genesee,2023,34,Malting,
Rexburg / Ririe,2021,34,Malting,
Idaho Falls,2021,34,Malting,977.5
Blackfoot / Pocatello,2021,34,Malting,1150.0
Grace / Soda Springs,2021,34,Malting,
Burley / Rupert,2021,34,Malting,
Twin Falls / Buhl / Jerome / Wendell,2021,34,Malting,
Meridian,2021,34,Malting,
Nezperce / Craigmont,2021,34,Malting,
Lewiston,2021,34,Malting,
Moscow / Genesee,2021,34,Malting,
Rexburg / Ririe,2022,37,Malting,
Idaho Falls,2022,37,Malting,1227.0
Blackfoot / Pocatello,2022,37,Malting,1150.0
Grace / Soda Springs,2022,37,Malting,
Burley / Rupert,2022,37,Malting,
Twin Falls / Buhl / Jerome / Wendell,2022,37,Malting,
Meridian,2022,37,Malting,
Nezperce / Craigmont,2022,37,Malting,1021.0
Lewiston,2022,37,Malting,1073.0
Moscow / Genesee,2022,37,Malting,1024.0
Rexburg / Ririe,2021,37,Malting,
Idaho Falls,2021,37,Malting,988.0
Blackfoot / Pocatello,2021,37,Malting,1150.0
Grace / Soda Springs,2021,37,Malting,
Burley / Rupert,2021,37,Malting,
Twin Falls / Buhl / Jerome / Wendell,2021,37,Malting,
Meridian,2021,37,Malting,
Nezperce / Craigmont,2021,37,Malting,
Lewiston,2021,37,Malting,
Moscow / Genesee,2021,37,Malting,
Rexburg / Ririe,2022,38,Malting,
Idaho Falls,2022,38,Malting,1227.0
Blackfoot / Pocatello,2022,38,Malting,1150.0
Grace / Soda Springs,2022,38,Malting,
Burley / Rupert,2022,38,Malting,
Twin Falls / Buhl / Jerome / Wendell,2022,38,Malting,
Meridian,2022,38,Malting,
Nezperce / Craigmont,2022,38,Malting,
Lewiston,2022,38,Malting,
Moscow / Genesee,2022,38,Malting,
Rexburg / Ririe,2022,39,Malting,
Idaho Falls,2022,39,Malting,1227.0
Blackfoot / Pocatello,2022,39,Malting,1150.0
Grace / Soda Springs,2022,39,Malting,
Burley / Rupert,2022,39,Malting,
Twin Falls / Buhl / Jerome / Wendell,2022,39,Malting,
Meridian,2022,39,Malting,
Nezperce / Craigmont,2022,39,Malting,
Lewiston,2022,39,Malting,
Moscow / Genesee,2022,39,Malting,
Rexburg / Ririe,2021,39,Malting,
Idaho Falls,2021,39,Malting,1040.0
Blackfoot / Pocatello,2021,39,Malting,1150.0
Grace / Soda Springs,2021,39,Malting,
Burley / Rupert,2021,39,Malting,
Twin Falls / Buhl / Jerome / Wendell,2021,39,Malting,
Meridian,2021,39,Malting,
Nezperce / Craigmont,2021,39,Malting,
Lewiston,2021,39,Malting,
Moscow / Genesee,2021,39,Malting,
Rexburg / Ririe,2023,2,Wheat - Milling (SWW),813.0000000000001
Idaho Falls,2023,2,Wheat - Milling (SWW),
Blackfoot / Pocatello,2023,2,Wheat - Milling (SWW),
Grace / Soda Springs,2023,2,Wheat - Milling (SWW),760.0
Burley / Rupert,2023,2,Wheat - Milling (SWW),
Twin Falls / Buhl / Jerome / Wendell,2023,2,Wheat - Milling (SWW),764.0
Meridian,2023,2,Wheat - Milling (SWW),720.0
Nezperce / Craigmont,2023,2,Wheat - Milling (SWW),725.0
Lewiston,2023,2,Wheat - Milling (SWW),751.0
Moscow / Genesee,2023,2,Wheat - Milling (SWW),734.0
Rexburg / Ririe,2022,2,Wheat - Milling (SWW),883.5000000000001
Idaho Falls,2022,2,Wheat - Milling (SWW),
Blackfoot / Pocatello,2022,2,Wheat - Milling (SWW),
Grace / Soda Springs,2022,2,Wheat - Milling (SWW),890.0
Burley / Rupert,2022,2,Wheat - Milling (SWW),865.0
Twin Falls / Buhl / Jerome / Wendell,2022,2,Wheat - Milling (SWW),
Meridian,2022,2,Wheat - Milling (SWW),970.0
Nezperce / Craigmont,2022,2,Wheat - Milling (SWW),980.0
Lewiston,2022,2,Wheat - Milling (SWW),1006.0
Moscow / Genesee,2022,2,Wheat - Milling (SWW),989.0
Rexburg / Ririe,2021,2,Wheat - Milling (SWW),535.0
Idaho Falls,2021,2,Wheat - Milling (SWW),515.0
Blackfoot / Pocatello,2021,2,Wheat - Milling (SWW),515.0
Grace / Soda Springs,2021,2,Wheat - Milling (SWW),532.0
Burley / Rupert,2021,2,Wheat - Milling (SWW),555.0
Twin Falls / Buhl / Jerome / Wendell,2021,2,Wheat - Milling (SWW),550.0
Meridian,2021,2,Wheat - Milling (SWW),605.0
Nezperce / Craigmont,2021,2,Wheat - Milling (SWW),615.0
Lewiston,2021,2,Wheat - Milling (SWW),641.0
Moscow / Genesee,2021,2,Wheat - Milling (SWW),624.0
Rexburg / Ririe,2022,3,Wheat - Milling (SWW),920.0
Idaho Falls,2022,3,Wheat - Milling (SWW),
Blackfoot / Pocatello,2022,3,Wheat - Milling (SWW),
Grace / Soda Springs,2022,3,Wheat - Milling (SWW),905.0
Burley / Rupert,2022,3,Wheat - Milling (SWW),905.0
Twin Falls / Buhl / Jerome / Wendell,2022,3,Wheat - Milling (SWW),
Meridian,2022,3,Wheat - Milling (SWW),1000.0
Nezperce / Craigmont,2022,3,Wheat - Milling (SWW),1010.0
Lewiston,2022,3,Wheat - Milling (SWW),1036.0
Moscow / Genesee,2022,3,Wheat - Milling (SWW),1034.0
Rexburg / Ririe,2023,3,Wheat - Milling (SWW),
Idaho Falls,2023,3,Wheat - Milling (SWW),
Blackfoot / Pocatello,2023,3,Wheat - Milling (SWW),
Grace / Soda Springs,2023,3,Wheat - Milling (SWW),780.0
Burley / Rupert,2023,3,Wheat - Milling (SWW),
Twin Falls / Buhl / Jerome / Wendell,2023,3,Wheat - Milling (SWW),764.0
Meridian,2023,3,Wheat - Milling (SWW),730.0
Nezperce / Craigmont,2023,3,Wheat - Milling (SWW),745.0
Lewiston,2023,3,Wheat - Milling (SWW),771.0
Moscow / Genesee,2023,3,Wheat - Milling (SWW),754.0
Rexburg / Ririe,2021,3,Wheat - Milling (SWW),540.0
Idaho Falls,2021,3,Wheat - Milling (SWW),525.0
Blackfoot / Pocatello,2021,3,Wheat - Milling (SWW),525.0
Grace / Soda Springs,2021,3,Wheat - Milling (SWW),536.0
Burley / Rupert,2021,3,Wheat - Milling (SWW),555.0
Twin Falls / Buhl / Jerome / Wendell,2021,3,Wheat - Milling (SWW),580.0
Meridian,2021,3,Wheat - Milling (SWW),625.0
Nezperce / Craigmont,2021,3,Wheat - Milling (SWW),635.0
Lewiston,2021,3,Wheat - Milling (SWW),661.0
Moscow / Genesee,2021,3,Wheat - Milling (SWW),643.9
Rexburg / Ririe,2023,4,Wheat - Milling (SWW),827.0
Idaho Falls,2023,4,Wheat - Milling (SWW),
Blackfoot / Pocatello,2023,4,Wheat - Milling (SWW),
Grace / Soda Springs,2023,4,Wheat - Milling (SWW),767.0
Burley / Rupert,2023,4,Wheat - Milling (SWW),
Twin Falls / Buhl / Jerome / Wendell,2023,4,Wheat - Milling (SWW),764.0
Meridian,2023,4,Wheat - Milling (SWW),730.0
Nezperce / Craigmont,2023,4,Wheat - Milling (SWW),740.0
Lewiston,2023,4,Wheat - Milling (SWW),766.0
Moscow / Genesee,2023,4,Wheat - Milling (SWW),746.5
Rexburg / Ririe,2021,4,Wheat - Milling (SWW),
Idaho Falls,2021,4,Wheat - Milling (SWW),
Blackfoot / Pocatello,2021,4,Wheat - Milling (SWW),
Grace / Soda Springs,2021,4,Wheat - Milling (SWW),518.0
Burley / Rupert,2021,4,Wheat - Milling (SWW),526.0
Twin Falls / Buhl / Jerome / Wendell,2021,4,Wheat - Milling (SWW),537.5
Meridian,2021,4,Wheat - Milling (SWW),630.0
Nezperce / Craigmont,2021,4,Wheat - Milling (SWW),635.0
Lewiston,2021,4,Wheat - Milling (SWW),661.0
Moscow / Genesee,2021,4,Wheat - Milling (SWW),643.9
Rexburg / Ririe,2022,4,Wheat - Milling (SWW),1010.0
Idaho Falls,2022,4,Wheat - Milling (SWW),
Blackfoot / Pocatello,2022,4,Wheat - Milling (SWW),
Grace / Soda Springs,2022,4,Wheat - Milling (SWW),904.0
Burley / Rupert,2022,4,Wheat - Milling (SWW),905.0
Twin Falls / Buhl / Jerome / Wendell,2022,4,Wheat - Milling (SWW),
